depth,train_accuracy,test_accuracy
1,60.0478,55.5024
2,78.11,77.0335
3,78.9474,77.512
4,81.5789,81.3397
5,81.6986,80.8612
6,83.3732,78.4689
7,84.5694,75.1196
8,86.244,78.9474
9,87.9187,73.2057
10,89.8325,75.5981
11,91.1483,75.1196
12,92.5837,72.2488
13,94.1388,74.6411
14,95.2153,72.2488
15,96.0526,72.2488
16,97.2488,72.2488
17,97.488,72.2488
18,97.8469,72.7273
19,98.2057,71.7703
20,98.3254,71.7703
21,98.3254,71.7703
22,98.3254,71.7703
23,98.3254,71.7703
24,98.3254,71.7703
25,98.3254,71.7703
26,98.3254,71.7703
27,98.3254,71.7703
28,98.3254,71.7703
29,98.3254,71.7703
30,98.3254,71.7703
